Gene,log2FC,p-value
CCDC126,-1.526937683302993,0.028796445943751414
TFDP1,-1.2982714895404155,0.028805888577991722
CKAP2L,-0.9141358810532876,0.029019883301705005
C1GALT1C1,-1.371465601327748,0.029062243689128287
LRRC42,-1.1689833155390703,0.02906788744593015
"CHMP3,RNF103,RNF103-CHMP3",-1.3393024291919113,0.029082251245408603
PCCB,-2.4639897339348567,0.02911815957528858
KIAA0240,-0.5076166604120149,0.029331317025387743
BCKDK,-0.9710282597131537,0.02939782371947694
CHFR,1.0008441895855489,0.02947364811692686
CAPN12,-1.8885570856581246,0.029492788116745994
SESTD1,-1.3747708239513061,0.029729853591819923
ATRN,-1.3857486652653401,0.029934837115333873
MTUS1,-1.264760263005194,0.030178187969548003
PFKFB2,-0.7490806118264964,0.030188963605087795
GOLIM4,-1.6589917873554403,0.030226610713220442
ABCD3,-2.041495739559684,0.030296302717251183
S100A8,1.612643031328832,0.030315861265698893
FBXO9,-0.819369341265006,0.030350872941793575
HSD11B1,-1.6771552291292249,0.030538861351440044
PLEKHG2,0.9349625448442875,0.03059288766264709
SEPT11,-1.1527149737198106,0.030629160800321
ADAM22,-1.0450493065161748,0.030644860739356454
DFNA5,-0.6013099920604345,0.030746778340408714
BUD13,1.577267170335542,0.030910354410715695
PPP3CB,-0.8604454604666043,0.031086407492175203
MARVELD3,-1.899445752152633,0.031111873017990427
ZNF532,-0.8061444175599002,0.031175675982959023
ZNF823,-1.984187786238334,0.0314437056281441
TOMM20,-0.8453010636408722,0.03147142926618919
KLF9,-1.836475484519162,0.031609549879374185
CPEB4,-1.5442479435528542,0.031672873218021286
CADM1,-1.9453117423512403,0.03169693886584724
ZNF677,-1.2060125892334506,0.031739095508879614
TNFSF13B,-1.1243908429142098,0.03175033037266666
DKK2,-2.5138286984201765,0.03180649779479564
PTS,-0.8061474056435927,0.03182471857460977
SUSD1,-1.9615464467243098,0.0318618799689385
EXOC3L4,1.723594424470992,0.03186450560759011
TRAM1L1,-3.297753759944685,0.03189858411022706
KIAA1715,-1.4840216993826423,0.03196899926750064
LOC644656,-1.0527836642585773,0.032021599299901456
MGMT,-0.8218282231857779,0.032080694010313625
VPS54,-1.1218829302291256,0.03226320191348749
MYO9B,0.9471402316359328,0.03237473702840412
TMTC2,-1.2830518571732483,0.0323810658417116
RABGAP1,-0.8945024369232817,0.03248071432151493
GTF3C6,-1.0042835426089218,0.03252485379739287
FAM104B,-1.7392502922666866,0.03258054775592727
DNAJC1,-2.340198762592266,0.03258793290458533
GNAQ,-1.8812185568433313,0.032756023571667056
APLP2,-1.22569779190267,0.03277842561288976
SLITRK2,-1.8763698719407325,0.03279228205696173
C1RL,-0.6486632704975506,0.032841661409759824
C7orf11,-1.3496716361788321,0.03284280534836214
B3GALNT1,-1.6715811991835756,0.03289109806802166
DLG3,-1.6215133325159976,0.032892181648605794
SEMA4F,-0.699081730593629,0.032931868560570725
TRPM2,1.6006165407874997,0.032977954175984016
PINK1,-1.3419982507692825,0.03301583446533343
UBE2S,-1.0357255807898262,0.033041289627399904
MAPK13,-1.047180182325404,0.03304803090414791
POLD4,0.8087844372096402,0.03307463120607931
ZNF394,1.0640572185636512,0.03311881836887961
C1orf64,-4.049158320126007,0.03315686751893493
SLC35D2,-1.2208503795507433,0.033247726585048605
CHCHD4,-0.8449005000443592,0.03335550557434396
PPIEL,1.7803856532200117,0.03369626212929906
EPHX1,-1.0098384079714178,0.03376101538387281
C17orf64,1.1017334179682359,0.033801683261533745
GUCY1A3,-1.0307342213582076,0.033819243802791776
TMEM159,-1.8208763652039541,0.03385341523395657
CRIP3,1.489721297236831,0.03392760456443266
PON2,-2.1984591758865255,0.033972133373312424
SUCLA2,-1.5826685932266833,0.034387135835478935
RMI1,-1.2029798082523473,0.03446376382798633
SNRPB2,-0.7566541158390776,0.03449913141008266
LRP4,-1.455468415541822,0.03476506662240546
FUNDC1,-1.6423905290340501,0.034775311790145064
"H3F3A,H3F3AP4",-1.2644822757397591,0.03478373406982045
ACSL3,-1.7677492780208401,0.034801735462978545
ARHGAP6,-1.7736843863963385,0.03480624567221067
ENSA,-0.9889188021200574,0.0348233381370325
LMO7,-1.9437501665343528,0.03487226890498854
EID2B,0.554245529489992,0.034876865547263804
ERGIC2,-1.0666912116105869,0.03488217616621712
MAP7,-2.9130904290610724,0.03496865647779251
EIF5B,-1.2150263233104304,0.03500566052711088
"MIR1307,USMG5",-0.8547162780768698,0.03506238805890976
SYT17,-2.345468266632545,0.03508892427457
SUGP2,1.0391653477248077,0.03509806185364518
C6orf1,-0.7935112581563057,0.03512526642177828
EPHB2,-0.8126782943931787,0.03523903269333657
METTL9,-0.9879274411042642,0.03528551340782722
YJEFN3,1.3161819441078757,0.03529410447859046
NFKBIB,1.0228997484993538,0.035574803981987806
CLDN11,-1.5082227240698913,0.03569454166788857
CDH5,-0.5083431007370214,0.03571140997394301
HNRNPC,-1.0829875748986506,0.03574581958076418
C1orf210,-3.2248341546176547,0.03576210676957397
PRR15L,-2.403388829453956,0.03581725464014876
PSMD9,-1.7805260461881827,0.03586002483531925
FAAH2,-1.335425508370574,0.035877181981179715
MANBAL,-1.028191845328701,0.035901509187041894
SERTAD3,-1.017899444912782,0.035928265097108135
CYP27C1,1.956058678870776,0.03607336877358937
TMEM5,-0.9752375144667824,0.036082535979093014
ACOX2,-2.6370731826490066,0.03613358644762694
ACADSB,-1.623448618107271,0.036153037502690374
ZCCHC17,-1.232493023685047,0.03626626025136094
USP20,1.9776448672042584,0.036302070924147924
BTBD7,-0.836849244175635,0.03633445357216738
CLDN7,-2.2701035829984004,0.03639454257193456
KDELR2,-1.1169616709702712,0.03666974205496821
C10orf47,-2.316084007006454,0.036721862986322136
ZCCHC24,-1.1193242586391907,0.036728177480725474
C10orf114,1.0300404921872928,0.03680241995900479
SLIRP,-1.425449852215781,0.03689082916277528
MFSD6L,-4.624448858028244,0.03690055344730548
PIGX,-1.0234021964750264,0.03693298831105394
HAT1,-1.3556082149438964,0.03711149719185823
BAIAP2,-1.047411791475557,0.03717116965780864
POU2AF1,1.3842359512970184,0.03717401886422238
GK5,-1.4145730867724622,0.037174598133675726
C1orf63,-0.9228128434073097,0.03751880742833254
COL6A4P2,-1.5846254000679854,0.037538034357742216
QKI,-0.9862211533795417,0.037538367376884485
KIAA1211,-1.0105984479566648,0.037563430264688204
C19orf40,-1.944220428571338,0.03756414631994877
CD164,-2.6181847054525846,0.03769698960150628
DIRAS3,-0.7860314097406792,0.03778500259883443
TCEA3,-1.375561927014088,0.03781104656320077
ERVFRD-1,1.3319218655284124,0.03782518812778761
C17orf89,-0.9851598321192254,0.037870011974416716
STAU2,-2.087859128363382,0.03794475139066353
FASLG,-1.2333053445425943,0.037948348875648324
EXD2,-1.5185434523606796,0.0380621908003327
KCTD1,-2.537143372120088,0.038069911053503616
C5orf54,-1.4890299380399525,0.03808618659269449
RIF1,-1.1718946479181662,0.03840822228104684
GRHL1,-2.8469121222407354,0.03851836477105537
ZBP1,1.233687421739607,0.03863076600948919
RCOR1,-1.3036264509432378,0.03864928040207984
ARF3,-1.3045412019175564,0.038679088808937785
SLC20A2,-1.4659641019824399,0.038717866838374956
